logFC	logCPM	F	PValue	FDR	mrna
3.28614113038381	7.30946373166966	412.750554527091	5.42821584267607e-13	1.36911666254163e-10	NUT1387
2.85388290555767	7.32643178131061	409.326687860259	5.79472448196653e-13	1.42205671070962e-10	NUT1010
6.5198958356265	6.14417049047576	400.284507568616	7.44185984905162e-13	1.77821282708918e-10	CUT507
2.48042117605464	8.91865553023612	384.983835139017	9.36756689152124e-13	2.18096172756443e-10	XUT_13F-274
2.93533208954751	6.87127113681622	383.324768149079	9.68950956313216e-13	2.199518670831e-10	NUT0607
2.08822649575496	7.84795515131792	378.459044001013	1.07076851077003e-12	2.37136050677851e-10	NUT1252
4.19619888253791	5.83593586832714	368.982863654463	1.30547200399032e-12	2.81883204396116e-10	CUT075
3.85846195648265	5.13356058961199	367.111730199408	1.35835642975848e-12	2.81883204396116e-10	NUT1459
3.24326622000993	7.36347049333611	366.813351487321	1.36700999149444e-12	2.81883204396116e-10	NUT1124
6.97693348385745	4.76681201526942	365.795517528219	1.39699825967238e-12	2.81883204396116e-10	CUT617
2.34891237774128	5.71007052607167	357.411064666527	1.67416943349841e-12	3.30466488177512e-10	CUT667
2.36212157002549	7.56945210917382	355.473021868455	1.74670646478496e-12	3.37448823409519e-10	NUT0207
11.964733826786	5.76317767106873	768.805437405327	1.91663320318763e-12	3.60026398937752e-10	XUT_2F-118
6.67262038613942	5.4239129513381	350.65393296701	1.942873738761e-12	3.60026398937752e-10	CUT593
3.016475110819	6.05201923095772	347.752240968474	2.07287011312139e-12	3.69583749381634e-10	CUT030
4.88936550136038	5.49256917321006	347.688015894584	2.07585586106424e-12	3.69583749381634e-10	CUT222
5.25092494696154	3.7027005782529	344.332817590709	2.23876344672737e-12	3.86196893644764e-10	CUT354
5.45156221498379	4.62239161692908	477.310649585007	2.25423296951239e-12	3.86196893644764e-10	NUT0942
3.10531616343411	7.57229493789198	332.740647942046	2.92262923643806e-12	4.91434693830696e-10	NUT0349
4.45121253702032	6.17701077661731	330.408294145556	3.08696210086609e-12	5.09629379561165e-10	NUT1173
-2.08167506345163	7.23213349238067	328.560191491884	3.22455909079142e-12	5.22839224006895e-10	XUT_15R-116
6.07189643113903	4.15813025687373	316.937667617107	4.26540915537094e-12	6.72768965075885e-10	NUT1051
9.01669088754122	4.72158385614963	316.632452020311	4.29742290466975e-12	6.72768965075885e-10	CUT791
8.76803701912211	4.62729737584778	315.571347246917	4.41083889146395e-12	6.77377097573288e-10	CUT380
5.58459914551764	4.84972975528953	314.974929927103	4.47606011612305e-12	6.77377097573288e-10	YLR302C
7.64465019591509	5.36241461473158	308.388531496581	5.27313900352696e-12	7.84919707410243e-10	CUT223
2.32839230074271	8.83666401964038	299.098911754646	6.68275026145673e-12	9.78699554419792e-10	NUT0661
5.26946216179667	6.74558761424398	305.137468628514	7.30465318776119e-12	1.05279763404558e-09	YMR194C-B
5.18840265477779	5.89143191476467	290.060515933769	9.18643800358257e-12	1.29020418087088e-09	NUT1217
2.37045918826584	5.90846327384256	286.839594809839	9.23604314500083e-12	1.29020418087088e-09	SUT641
4.03469978056988	5.44574412050747	285.721814933144	9.51878967588403e-12	1.30955470086404e-09	YLR334C
2.0629609478058	6.25078122331371	283.041716664969	1.02371859124513e-11	1.36986918127056e-09	NUT1363
9.8895987167926	5.05604985918454	282.973641005533	1.04285826339627e-11	1.36986918127056e-09	CUT680
7.05879123228976	5.79327830750516	290.587338965271	1.04716306477771e-11	1.36986918127056e-09	CUT733
6.47445511857725	5.4365067446813	281.903084411463	1.05606654943765e-11	1.36986918127056e-09	NUT0288
6.66716338176444	5.8346683685297	287.213475979398	1.14472158476228e-11	1.46395380135796e-09	CUT024
3.6684207450018	6.12429851274962	276.277459106206	1.23370771993365e-11	1.55584251347188e-09	XUT_14R-250
9.55043641001395	4.74751269097403	370.66236320453	1.29589448430564e-11	1.61187971472537e-09	XUT_10F-86
1.97112045498861	5.87592347228645	273.200315696757	1.34492698317964e-11	1.65026175773934e-09	NUT0755
-2.31332034501434	7.30051440855527	272.468257441891	1.37301622832587e-11	1.66226498042652e-09	YCR088W
6.41701665801579	4.68553188933895	270.138116139663	1.46690550553921e-11	1.75256605135474e-09	SUT161
-2.82949984953289	6.68915820177355	269.545211191247	1.49193198004276e-11	1.75931719205043e-09	NUT0070
3.17488094314627	6.15638875492386	265.774551468636	1.66277503353206e-11	1.9356406800604e-09	YPL198W
2.53085732157883	5.75019973173288	262.378700840873	1.83561453783669e-11	2.10979493715913e-09	NUT0218
3.75683716775519	4.06808214921403	260.588533351349	1.93479075537134e-11	2.19598750734647e-09	XUT_4F-384
6.27718870639107	5.11182758998706	259.518284371525	1.99695041818232e-11	2.23855676507351e-09	CUT515
1.86910160998971	8.24830860905614	258.942527589366	2.03131582343301e-11	2.24931069228924e-09	NUT0550
6.56949139835249	4.43176310728956	258.380336368383	2.06551358603036e-11	2.2596220917055e-09	CUT513
2.06680463062057	5.33549206195632	255.595004386638	2.2447694002567e-11	2.42648882789653e-09	CUT566
5.51192257048638	4.25944701505065	252.757166680039	2.44557510178079e-11	2.6124496381376e-09	NUT0401
-10.4309883463642	4.18474090974411	501.129045203036	2.52604175067266e-11	2.66703012745439e-09	NUT0386
