"","RNA","WT_pBM5vscsl4ph_pBM5","WT_pBM5vsenp1_1_pBM5","WT_pBM5vscsl4ph_pBM766","WT_pBM5vsenp1_1_pBM766","WT_pBM5vsWT_pBM766","RNA_Class"
"64","lcl|BK006948.2_ncrna_5391",5.51712486232602,2.3558630177132,4.6311865786785,1.78428019165984,-0.504739596678561,"[locus_tag=snR58]"
"65","lcl|BK006948.2_ncrna_5442",7.06919658066888,4.83343472659315,6.76661139438437,4.02945294730191,1.30290630623806,"[locus_tag=snR81]"
"66","lcl|BK006948.2_ncrna_5457",3.90058178332046,1.18544976134192,2.84784530511382,1.02552526373644,-0.0340513688236482,"[locus_tag=snR50]"
"67","lcl|BK006948.2_ncrna_5542",3.30350144899041,1.94320463678529,2.84783357786141,1.46603698101934,-0.290890923492351,"[locus_tag=snR9]"
"68","lcl|BK006948.2_ncrna_5544",-0.253215814045607,0.00280191409118982,-0.303748041928391,0.566258985766904,0.031886122686508,"[locus_tag=snR62]"
"69","lcl|BK006948.2_ncrna_5685",1.514269474635,0.71142441390606,1.18552907049025,0.604851096532041,-0.0654144246418426,"[locus_tag=snR36]"
"70","lcl|BK006948.2_ncrna_5724",5.47874756710599,2.95303139315308,4.75925728674576,2.01096156642367,-0.175361707787193,"[locus_tag=snR35]"
"71","lcl|BK006948.2_ncrna_5737",1.97624926558751,1.44381125605584,1.83269923352893,1.24432568277075,-0.0620010774399148,"[locus_tag=snR17a]"
"72","lcl|BK006948.2_ncrna_5771",5.7771146921337,3.07252318404224,5.28976151466246,2.23346472781059,0.282599627435294,"[locus_tag=snR8]"
"73","lcl|BK006948.2_ncrna_5777",3.95558950662388,1.94538653736178,3.2436122233185,1.60192053028899,0.0900141123156024,"[locus_tag=snR31]"
"74","lcl|BK006948.2_ncrna_5778",5.19801358155801,1.78777158536717,4.34813501394436,1.3307773114618,-0.150561420402349,"[locus_tag=snR5]"
"75","lcl|BK006949.2_ncrna_5984",3.68472207561003,3.96569448721311,3.09004594776934,1.98497920980012,0.558272931601965,"[locus_tag=snR59]"
"76","lcl|BK006949.2_ncrna_6040",2.73307467188152,2.49672820858324,2.67834608120891,1.84712697595191,-0.187509530710321,"[locus_tag=snR17b]"
"77","lcl|BK006949.2_ncrna_6270",1.37377069574254,1.40504658363508,1.18577182717154,0.813610789957622,0.059323714092152,"[locus_tag=snR51]"
"78","lcl|BK006949.2_ncrna_6271",-0.0815729985341862,1.81215164095759,0.131849758750056,1.66841746819321,0.102775274346425,"[locus_tag=snR70]"
"79","lcl|BK006949.2_ncrna_6272",1.43792650037873,4.55767489054063,2.24738510473519,3.67593060587889,-0.93869240769498,"[locus_tag=snR41]"
"80","lcl|BK006949.2_ncrna_6328",4.34283274485484,3.20680853249851,3.43151942075374,2.5841220554426,0.510988258909249,"[locus_tag=snR45]"
