gene	Class
CUT056	II
CUT058	II
CUT059	III
CUT060	I
CUT061	IX
CUT062	III
CUT064	III
CUT065	III
CUT066	II
CUT067	I
CUT069	I
CUT071	III
CUT075	I
CUT076	III
CUT078	II
CUT080	III
CUT081	II
CUT082	I
CUT085	I
CUT086	V
CUT087	I
CUT089	III
CUT091	II
CUT092	I
CUT094	I
CUT095	II
CUT097	I
CUT098	I
CUT100	IV
CUT101	I
CUT102	I
CUT103	I
CUT105	III
CUT106	I
CUT108	III
CUT109	I
CUT110	III
CUT112	I
CUT114	I
CUT115	I
CUT116	I
CUT117	I
CUT118	III
CUT119	III
CUT121	III
CUT123	II
CUT124	III
CUT126	I
CUT128	I
CUT129	III
CUT132	I
CUT133	III
CUT134	I
CUT135	I
CUT140	III
CUT142	I
CUT143	I
CUT144	I
CUT149	I
CUT151	II
CUT152	I
CUT155	III
CUT156	I
CUT158	II
CUT159	I
CUT160	I
CUT163	I
CUT164	II
CUT167	III
CUT168	I
CUT170	I
CUT171	I
CUT173	III
CUT175	II
CUT178	I
CUT179	I
CUT182	I
CUT183	III
CUT186	III
CUT188	III
CUT189	III
CUT191	V
CUT192	I
CUT194	I
CUT195	II
CUT196	III
CUT197	II
CUT198	I
CUT199	I
CUT200	I
CUT204	II
CUT206	I
CUT207	I
CUT209	I
CUT211	I
CUT213	I
CUT214	I
CUT216	III
CUT217	III
CUT218	I
CUT219	III
CUT221	I
CUT222	I
CUT225	I
CUT228	I
CUT229	I
CUT230	III
CUT231	I
CUT232	I
CUT236	I
CUT237	I
CUT238	I
CUT239	I
CUT240	I
CUT241	I
CUT242	I
CUT246	I
CUT248	III
CUT250	II
CUT251	I
CUT252	III
CUT254	I
CUT259	III
CUT260	I
CUT265	I
CUT267	I
CUT270	I
CUT271	I
CUT272	II
CUT273	I
CUT275	I
CUT278	I
CUT280	I
CUT281	VII
CUT283	II
CUT285	III
CUT288	I
CUT294	I
CUT295	I
CUT296	I
CUT298	II
CUT299	I
CUT300	I
CUT301	III
CUT303	I
CUT305	III
CUT306	I
CUT309	II
CUT310	II
CUT311	I
CUT313	III
CUT314	I
CUT315	I
CUT317	III
CUT319	III
CUT320	II
CUT321	III
CUT322	I
