logFC	logCPM	F	PValue	FDR	mrna
1.00238789579402	8.91865553023612	69.3219128643032	2.90763476688036e-07	9.86113372419534e-05	XUT_13F-274
3.08479481286959	4.31493566641661	69.2342887577897	2.93227544662196e-07	9.86113372419534e-05	CUT466
6.46977623495962	3.82991982382386	79.5721678857154	3.24478825664533e-07	0.000101390337519295	SUT503
0.926133924879473	7.91656919531688	68.1279316419015	3.2644448950368e-07	0.000101390337519295	NUT0544
1.20195347452519	5.75019973173288	67.863693039161	3.34990101935998e-07	0.000101390337519295	NUT0218
0.996452090967269	8.2448331906204	66.1263768425276	3.97852353188069e-07	0.000116532237643473	NUT1036
0.839086386341207	7.29309326562731	65.4776154318308	4.24643191669717e-07	0.000120492505636282	NUT0435
-1.45045648889254	6.7739657193359	64.4356259041912	4.72021857069524e-07	0.000129877529157311	YML090W
7.05164631374591	3.40673019075951	73.3168779396154	5.33824614992324e-07	0.000138593758766696	CUT541
0.833996547570159	7.90411132936341	63.172918384617	5.37582958907296e-07	0.000138593758766696	NUT0784
0.88252297562202	10.843864971485	62.9621955991434	5.49490673524344e-07	0.000138593758766696	NUT0490
-1.74568923310391	10.6279080724578	62.5727340961525	5.72286786784617e-07	0.000140442270919036	NUT1432
0.962999814014117	8.35729559119747	59.5610847349247	7.89216918989658e-07	0.00018491497170387	YLR367W
1.11482535941843	7.70867344711519	59.5028469472845	7.94238314587107e-07	0.00018491497170387	NUT0805
1.9376119218896	3.7027005782529	59.1151602946309	8.28594757538486e-07	0.000188091009961236	CUT354
7.40758494095721	3.36221080219621	103.678351651558	1.08310278607438e-06	0.00023986764140379	YJR018W
6.89717215591461	2.53457737681135	64.0856720337959	1.19373465779215e-06	0.00025807406411316	CUT102
2.54772814387052	3.75463248361358	55.0044943517832	1.31672103370511e-06	0.000278042488047497	CUT117
1.9085287999861	5.36241461473158	53.7308142553549	1.52836245513806e-06	0.000315398433923946	CUT223
1.45562646685744	4.37464985730753	53.0339574622412	1.66017280658372e-06	0.000334985979639559	YCR064C
1.39552725070882	6.46177308343409	52.3911699019461	1.7931680791172e-06	0.000353955786051829	CUT200
1.1007350770034	9.09099854559795	50.2356990881946	2.33469718510906e-06	0.000449665302013044	NUT1169
1.55175313124235	5.30485584492542	50.0912778311335	2.37708529698526e-06	0.000449665302013044	YNL017C
1.2077730222904	5.13653412868539	49.800183382007	2.46517624264902e-06	0.000453117549129516	NUT0287
1.24495263018577	4.72886518031867	49.7038214877558	2.49514068903919e-06	0.000453117549129516	NUT1336
0.967336154785944	7.75892982731881	49.037614931461	2.71385598495013e-06	0.000483172791046023	NUT1395
9.18627030878259	3.74849863572425	87.8973593687929	2.81743624269774e-06	0.000491967713147989	YJR129C
1.71939686466544	5.11414223966411	48.3940067579287	2.94580486329456e-06	0.000504677512428578	CUT221
7.21343738281574	4.08040784981566	82.6962100364291	3.10963816602492e-06	0.000522879899027894	CUT273
2.66712230059013	4.08558959856781	63.7683513288251	3.31374337854875e-06	0.000547068906858593	CUT841
3.15093401766803	5.31387010886041	62.9775053596039	3.53632491925161e-06	0.000557975515455422	XUT_4F-132
-0.779086979055598	6.26525604116914	46.9431183015232	3.55503846736676e-06	0.000557975515455422	NUT0606
1.38887369430996	5.27755745545377	46.4519224589709	3.79243964485508e-06	0.000557975515455422	YDR216W
5.09345267356499	4.03541554550693	63.8462722751077	3.80307217321874e-06	0.000557975515455422	YKR012C
1.9585759902762	4.51161537872335	46.3853468902446	3.82596617795197e-06	0.000557975515455422	CUT433
1.62176944946124	9.54674355454847	46.4857969506118	3.92708642281662e-06	0.000557975515455422	YLR159C-A
1.62173618286048	9.54670624242932	46.4842384720694	3.92789031008295e-06	0.000557975515455422	YLR154C-H
